group_id,group_name,post_id,post_date,expected_comments,collected_comments,shortage_comments,status,post_url,content
939853694105892,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1714846259939961,2026-06-11T11:06:29.000Z,168,0,168,underfilled,https://www.facebook.com/groups/939853694105892/posts/1714846259939961/,"Cu mình 14m, 8kg. Ăn tốt nhưng cân ko tăng thì ti sữa gì đây ạ? Loại nào tăng cân đều ấy, chứ đừng tăng nhanh. Tuy muốn con tăng cân nhưng mình ko cần những dòng tăng nhanh quá xong hết sữa lại ko tăng đâu ạ, những dòng như thế ti sợ lắm nhé"
939853694105892,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1714850853272835,2026-06-11T11:06:13.000Z,166,0,166,underfilled,https://www.facebook.com/groups/939853694105892/posts/1714850853272835/,M nào dùng sữa friso cho con chưaa ạ . Cho mình xin chut rv. Mình muốn đổi sữa cho bé nhà 😅
939853694105892,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1714853773272543,2026-06-11T11:03:27.000Z,166,0,166,underfilled,https://www.facebook.com/groups/939853694105892/posts/1714853773272543/,Có m nào cho con dùg sữa frisolac gold chưa ? Sữa có mát k các mom
939853694105892,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1714853673272553,2026-06-11T11:03:27.000Z,166,0,166,underfilled,https://www.facebook.com/groups/939853694105892/posts/1714853673272553/,"sữa mẹ loãng nên e định dặm kèm sct thêm cho con chứ sợ sữa mẹ không đủ cho con ti. group mình các chị dùng thấy sữa nào tốt nhất v ạ? e lướt thấy các chị review friso sữa mát nhiều, sữa này chắc oke ha các chị, em thấy rw là con ti output đẹp, con hợp tác. các chị cho e sin kinh nghiệm với nn"
939853694105892,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1714845233273397,2026-06-11T11:06:29.000Z,165,0,165,underfilled,https://www.facebook.com/groups/939853694105892/posts/1714845233273397/,Giữa Meji và Aptamil Đức thì loại nào tốt hơn các mom?
939853694105892,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1714853293272591,2026-06-11T11:03:27.000Z,165,0,165,underfilled,https://www.facebook.com/groups/939853694105892/posts/1714853293272591/,Bé em 2 tuổi. Ăn đc mà k hấp thụ. Ko biết có dòng sữa nào để bé ti hấp thụ ko ah. Mn chỉ giúp mình vs nha
939853694105892,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1714850283272892,2026-06-11T11:06:27.000Z,163,0,163,underfilled,https://www.facebook.com/groups/939853694105892/posts/1714850283272892/,Bé em đang uốg sữa friso nhập khẩu bây giờ em muốn chuyển qa sữa khác thì nên dùng sữa nào ah
939853694105892,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1714846753273245,2026-06-11T11:06:27.000Z,163,0,163,underfilled,https://www.facebook.com/groups/939853694105892/posts/1714846753273245/,"Các mẹ đang dùg enfamil hoặc enfagrow cho em xin ít review với ạ, e đang tính đổi sữa tăng đề kháng cho con vs ạ"
114293632527877,Hội các mẹ cho con uống sữa công thức,1975235489767006,2026-06-08T12:56:27.000Z,156,0,156,underfilled,https://www.facebook.com/groups/114293632527877/posts/1975235489767006/,Bé nhà e đc 13m vì hay ốm lên cân chững dần rồi tụt đi còi quá kb có dc 9kg k ạ! Trước 1tuổi nhìn bé còn trộm vía tại hay ốm vặt lên còi dần giờ lên cho bé uống sữa gì để cải thiện được ạ! bé nhà e từ bé đến giờ uốg meji
riviesuacongthuc,💞💞 REVIEW SỮA CÔNG THỨC💞💞,4704480796475481,2026-04-26T03:35:54.000Z,155,0,155,underfilled,https://www.facebook.com/groups/riviesuacongthuc/posts/4704480796475481/,"Các mm tv cho e dòg sữa nào tốt mà vị nhạt giống sữa mẹ .bé dễ hợp tác ko ạ ,e đag phân vân giữa Mejii và Black more."
