group_id,post_id,group_name,target_comments,crawled_comments,percent_crawled
riviesuacongthuc,4484546105135619,💞💞 REVIEW SỮA CÔNG THỨC💞💞,2601,20,0.8
402671786045954,819562757690186,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,2605,20,0.8
183774529022936,1814310452635994,HỘI REVIEW BỈM SỮA CHO BÉ <3,2567,20,0.8
184019427900518,807409525561502,REVIEW CÁC LOẠI SỮA CÔNG THỨC,2527,20,0.8
184019427900518,787489054220216,REVIEW CÁC LOẠI SỮA CÔNG THỨC,2451,20,0.8
reviewsuacongthuc,10006097816076753,Hội Review sữa công thức có tâm!!!,2386,20,0.8
804858320013004,2507668429731976,HỘI REVIEW SỮA CÔNG THỨC,1260,10,0.8
183774529022936,2080240136043023,HỘI REVIEW BỈM SỮA CHO BÉ <3,2333,20,0.9
183774529022936,2080388606028176,HỘI REVIEW BỈM SỮA CHO BÉ <3,2135,20,0.9
183774529022936,2150765885657114,HỘI REVIEW BỈM SỮA CHO BÉ <3,1112,10,0.9
nuoiconbangsuacongthu,1021982116723075,Nuôi Con Bằng Sữa Công Thức,2110,20,0.9
804858320013004,2469599540205532,HỘI REVIEW SỮA CÔNG THỨC,1097,10,0.9
402671786045954,822288924084236,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,2045,20,1
402671786045954,821668777479584,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,2027,20,1
402671786045954,751564284490034,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,1913,20,1
6183167068463220,25393477500338889,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,2009,20,1
6183167068463220,24506065922413389,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1960,20,1
6183167068463220,26841855998834358,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1011,10,1
6183167068463220,26786083481078277,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1000,10,1
6183167068463220,26870659852620639,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,989,10,1
6183167068463220,26909876442032313,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,988,10,1
183774529022936,1969923177074720,HỘI REVIEW BỈM SỮA CHO BÉ <3,2078,20,1
183774529022936,1988310971902607,HỘI REVIEW BỈM SỮA CHO BÉ <3,1960,20,1
183774529022936,1872595286807510,HỘI REVIEW BỈM SỮA CHO BÉ <3,1928,20,1
184019427900518,812024035100051,REVIEW CÁC LOẠI SỮA CÔNG THỨC,2100,20,1
6183167068463220,24087902774229708,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1835,20,1.1
6183167068463220,25873491689004132,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1833,20,1.1
6183167068463220,25632453709774599,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,927,10,1.1
183774529022936,1980750442658660,HỘI REVIEW BỈM SỮA CHO BÉ <3,1875,20,1.1
183774529022936,1914480352619003,HỘI REVIEW BỈM SỮA CHO BÉ <3,1838,20,1.1
183774529022936,1914642829269422,HỘI REVIEW BỈM SỮA CHO BÉ <3,1817,20,1.1
183774529022936,1848003509266688,HỘI REVIEW BỈM SỮA CHO BÉ <3,1817,20,1.1
nuoiconbangsuacongthu,1066016678986285,Nuôi Con Bằng Sữa Công Thức,1886,20,1.1
